Weight_kg,Seat_FL,Seat_FR,Seat_BL,Seat_BR,Lumbar_L,Lumbar_R,IMU_Pitch,IMU_Roll,Posture_Class
68.95399814215726,155,129,165,192,102,83,-0.2765286023423693,0.6476885381006925,0
69.59584061020351,137,105,144,162,76,96,-0.9268353856249245,-0.46572975357025687,0
49.28766294270305,91,95,99,112,66,47,-2.824607402670583,1.465648768921554,0
67.25977225683941,120,157,164,148,100,69,-1.20127737983761,-0.2916937497932768,0
64.92409033006658,127,136,161,157,80,63,-3.919340247759551,-1.3281860488984305,0
51.92218108247408,105,73,132,121,57,77,-0.921277541919575,1.0571222262189157,0
76.43399331494331,142,152,201,180,97,83,1.8625602382323971,-0.8392175232226385,0
45.25310726287061,86,102,116,101,64,82,1.625051644788396,1.356240028570823,0
61.498435452460676,130,119,146,152,50,77,3.1292873116280124,-2.6197451040897444,0
66.99957600116446,116,121,177,169,79,95,2.955788089483032,-0.5182702182736474,0
63.35908569087257,117,116,133,159,87,83,1.9372899810657784,-0.7020530938773524,0
58.715780132747945,107,100,141,149,105,79,-2.8307414841008285,-0.42064532276535904,0
65.6057054701187,125,127,197,157,90,85,-0.14889183153233443,-1.9187712152990415,0
45.638507473326555,99,74,132,90,68,92,2.285645629030041,0.7519330326867741,0
48.13249144817036,85,69,118,101,70,49,-1.1325954592055438,0.09965136508764122,0
83.69908167024555,173,142,208,224,85,112,-1.5665065846724742,-0.3220615162056756,0
65.63835911947793,106,134,165,164,91,75,1.5636457435546207,-1.236950710878082,0
65.25155176025405,153,132,141,169,71,97,0.5861449465973625,-0.7143514180263678,0
78.22033810610365,156,162,220,187,91,89,-1.641364636703421,0.9633761292443218,0
50.57865601048387,101,109,124,145,62,107,-0.1542034188282084,0.3411519748166439,0
70.75934286871009,143,132,184,180,91,80,-1.714315112832565,-1.0708924980611123,0
45.0,89,67,112,116,45,61,-0.8930299041340422,0.8563987943234723,0
62.814922058244,129,137,169,133,68,90,-2.285940595661246,0.3577873603482833,0
69.19300331277093,141,150,183,179,86,102,1.0300953726120958,3.852731490654721,0
51.180446996474,99,133,97,135,42,60,-0.47363721348001775,-0.48536354782910346,0
77.24530835754312,137,158,178,192,102,91,0.12856003819092554,-1.0777447779293061,0
92.01521725055456,179,167,238,213,119,128,1.2678380446360225,-2.025142586657607,0
74.1205727183817,135,132,208,187,78,111,-2.4005928141115525,-0.3345012358409484,0
91.71018675817686,169,195,214,231,131,106,2.0649305211022937,-1.5193699659540134,0
61.1666450151348,113,99,174,128,73,82,-6.482534680138145,-1.0243876413342898,0
82.17782604692562,158,143,208,204,98,108,-2.8717243023588788,1.1631637521549596,0
56.60560964393536,132,90,170,109,72,83,0.22703469050249608,0.6621306745210467,0
65.93388614829045,119,118,174,166,76,100,-1.2453990396411876,-0.20812225035727522,0
66.30219329227253,115,119,173,171,86,88,1.6257242376779202,0.6296288419236122,0
79.88730854103795,150,150,212,208,117,124,-1.1831427776716599,0.5470973811700379,0
62.294053782858626,124,117,154,161,69,113,1.3639059425899278,-0.31026675659345604,0
47.915756659004174,104,101,126,117,49,64,-2.4283772255754643,1.1581108735000678,0
52.51973603883044,88,96,134,120,56,72,1.9502394668355023,-0.14705738150213865,0
65.42953199552213,129,104,139,149,82,90,-1.0138863507422595,-0.4710383056183228,0
82.65498703729372,158,144,202,198,113,96,1.7153192464040388,-0.1599385299634271,0
69.27085119937641,139,143,163,173,91,92,3.0654778260051554,-0.1087601484568576,0
51.17786302602347,120,112,157,113,80,69,0.04902034851788543,0.49799829124544975,0
92.65724106504742,169,146,219,215,123,126,-1.616596570710303,-0.8397218421807761,0
88.2663917490224,156,177,196,243,133,108,1.9008476763721005,-0.5769036556624031,0
45.0,105,62,101,110,59,52,2.7077447483308257,-0.11453984525261789,0
70.71989905286497,137,143,183,156,69,111,-2.1352408587651888,-0.1423794850212935,0
66.65239616771429,130,145,164,194,113,83,-1.4969730731131072,1.551151975522523,0
75.60199331336098,131,155,201,158,81,68,1.290751899170295,1.3686315575323487,0
58.22830431777619,113,136,121,117,75,82,1.4350845115919246,1.502357052096028,0
61.5422735266827,98,128,156,136,73,64,-4.134884200079753,-0.08912003951278841,0
61.12249263817559,125,109,137,148,64,71,1.9102846410024765,-0.9857260463355437,0
45.229709503756126,76,90,109,107,68,70,3.9294502658327786,0.03526355197172861,0
54.57298393345262,70,82,154,158,67,80,-1.15163648128936,-0.275051697151644,0
66.35750216360951,125,113,138,165,75,65,6.157761616910475,1.1195749114345768,0
52.94797962060463,115,101,151,130,56,92,-2.16309600722879,1.6871416350725648,0
69.54474061158523,120,113,184,199,70,99,-2.074492308652913,-0.1903386780836082,0
52.89100403229442,88,102,117,133,68,65,-0.9742507675293921,-0.5923939242388692,0
49.29410873141763,102,80,122,132,39,72,-1.1535426611366655,0.755391225825756,0
52.723267374758144,74,77,129,133,55,78,1.1411973371863187,-0.7632591565425169,0
45.0,76,87,97,104,74,50,-0.13215959729463314,-1.2110161997624567,0
73.69968956891199,163,104,168,189,93,102,-2.259413709315236,0.5298041779152828,0
53.54420738597851,120,106,136,125,62,63,0.17317957494579983,-0.15567723539207948,0
67.52232999329615,161,143,160,183,82,58,-0.8419689616405259,0.2897748568964129,0
